DATE_TIME,CO,NO2,SO2
2025-09-01,0.0343330055475235,4.0732014895183966e-05,0.00034152952139265835
2025-09-02,0.0212227012962102,4.177209484623745e-05,-6.0914164350833744e-05
2025-09-03,0.0276213493198156,4.379946039989591e-05,4.000318222097121e-05
2025-09-04,0.0270210932940244,2.981937723234296e-05,0.00027247847174294293
2025-09-05,,1.94606400327757e-05,-0.0004814003477804363
2025-09-06,0.0319818034768104,1.719449028314557e-05,0.00013233178469818083
2025-09-07,,2.074151234410237e-05,-0.00024607774685136974
2025-09-08,0.0292946845293045,,
2025-09-09,0.0278487280011177,,
2025-09-10,0.0256603583693504,,
2025-09-11,,,9.958219743566588e-05
2025-09-12,0.0293348990380764,,
2025-09-13,0.032187420874834,3.6338675272418186e-05,0.00022230208560358733
2025-09-14,0.0252783726900815,,
2025-09-15,0.0282425656914711,,-1.8308627431906643e-06
2025-09-16,,,
2025-09-17,0.0345197841525077,3.9429902244592085e-05,8.455048373434693e-05
2025-09-18,,,
2025-09-19,0.0280308574438095,1.1370320862624794e-05,0.000199650225113146
2025-09-20,0.0270431954413652,,
2025-09-21,0.0271800402551889,2.822290844051168e-05,0.0001606204459676519
2025-09-22,0.0304523184895515,3.997576277470216e-05,0.0002332014119019732
2025-09-23,0.0329700633883476,3.1734009098727256e-05,5.258304008748382e-05
2025-09-24,0.0381654649972915,4.325416011852212e-05,0.0003024818724952638
2025-09-25,0.0315934643149375,4.052342046634294e-05,0.00028761642170138657
2025-09-26,,1.4756292330275755e-05,0.00031697243684902787
2025-09-27,0.0313133522868156,,-3.938208010367816e-06
2025-09-28,0.0306617524474859,5.527610846911557e-05,-1.7524202121421695e-05
2025-09-29,0.0383491143584251,,
2025-09-30,,4.117557546123862e-05,
2025-10-01,0.0268715862184762,,
2025-10-02,,,3.631760409916751e-05
2025-10-03,0.0326425284147262,2.857301660696976e-05,-5.49218530068174e-05
2025-10-04,0.0352752320468425,2.478304122632835e-05,0.00028384168399497867
2025-10-05,0.035911925137043,3.298816955066286e-05,-8.848181460052729e-05
2025-10-06,0.0300407391041517,3.441933949943632e-05,0.0002886474248953164
2025-10-07,0.0377458706498146,2.323909939150326e-05,-0.00027766224229708314
2025-10-08,,1.6932646758505143e-05,0.000555885664653033
2025-10-09,0.0371658243238925,3.315148569527082e-05,0.00017523049609735608
2025-10-10,0.0400390513241291,3.0913633963791654e-05,0.00011356769391568378
2025-10-11,0.0312162432819604,1.951880585693289e-05,0.00020449873409233987
2025-10-12,0.0292652156203985,3.2102001569001004e-05,-0.00020075227075722069
2025-10-13,0.0232540909200906,2.1540068701142445e-05,-2.0427238268894143e-05
2025-10-14,0.0263276100158691,5.718300599255599e-05,0.0001557726936880499
2025-10-15,0.0331911258399486,4.214881482766941e-05,0.0002524178999010473
2025-10-16,0.0322200469672679,1.3640808901982382e-05,0.00021887726325076076
2025-10-17,0.0297137442976236,2.043430322373752e-05,0.0002374475443502888
2025-10-18,,2.3105256332200952e-05,0.0002635686250869185
2025-10-19,0.0324177369475364,1.9661580154206604e-05,-0.0004274295351933688
2025-10-20,0.0385771952569484,4.282916415832005e-05,0.0001685076131252572
2025-10-21,,,
2025-10-22,,,
2025-10-23,,1.5469518984900787e-05,-0.00018162914784625173
2025-10-24,,,
2025-10-25,,,
2025-10-26,,,
2025-10-27,,,
2025-10-28,,,
2025-10-29,,,
2025-10-30,0.0267189312726259,1.8902097508544102e-05,-3.684543480630964e-05
2025-10-31,,,6.88694417476654e-05
2025-11-01,0.0284933187067508,1.4639900655311068e-05,0.0001807301014196128
2025-11-02,0.0274635907262563,,5.630612940876745e-05
2025-11-03,,,
2025-11-04,0.031563863158226,,
2025-11-05,,,
2025-11-06,,,
2025-11-07,0.0236984547227621,,
2025-11-08,,,
2025-11-09,,,
2025-11-10,0.0284197572618722,,
2025-11-11,0.0295702032744884,3.682180249597877e-06,7.013248250586912e-05
2025-11-12,,,0.00011257039295742288
2025-11-13,,,
2025-11-14,,,
2025-11-15,,,
2025-11-16,,,
2025-11-17,0.021607007831335,,-3.637036570580676e-05
2025-11-18,,,9.61660043685697e-05
2025-11-19,,,
2025-11-20,,,
2025-11-21,,,
2025-11-22,,4.792826530319871e-06,3.956638101954013e-05
2025-11-23,,,
2025-11-24,,,
2025-11-25,,1.6606607459834777e-05,
2025-11-26,,,
2025-11-27,,,
2025-11-28,0.0327425524592399,1.2982281077711376e-05,
2025-11-29,,,
2025-11-30,,1.203388728754362e-05,
2025-12-01,,,
2025-12-02,0.0299952905625104,7.864788130973466e-06,
2025-12-03,,,
2025-12-04,,,
2025-12-05,,,
2025-12-06,,,
2025-12-07,,2.214354208263103e-05,0.0001276965340366587
2025-12-08,,,
2025-12-09,,,
2025-12-10,0.0282042082399129,,0.00016131404845509678
2025-12-11,,,
2025-12-12,0.0322192795574665,2.177133137593046e-05,5.795149718323955e-06
2025-12-13,,,
